Solution,Image Quality,CPU Energy,Gender Fitness,Ethnicity Fitness,GPU Energy,Duration,Round
"{'denoising_steps': 26, 'guidance_scale': 8.242424259581668, 'positive_prompt': [1199, 1469, 43], 'negative_prompt': [5901, 373, 80], 'weight': 5, 'seed': 112}",0.8235,0.0001145,0.8999999999999999,0.6000000000000001,0.0006680928955837,18.78867924213409,round_9
"{'denoising_steps': 25, 'guidance_scale': 6.211309600629738, 'positive_prompt': [1758, 152, 222], 'negative_prompt': [8232, 495, 236], 'weight': 2, 'seed': 397}",0.7985,0.00011091,0.5,0.8999999999999999,0.0006584830267897,18.293685793876648,round_9
"{'denoising_steps': 30, 'guidance_scale': 6, 'positive_prompt': [1742, 998, 4], 'negative_prompt': [8415, 290, 30], 'weight': 5, 'seed': 407}",0.78681818,0.00013004,0.3,0.7000000000000001,0.0007604988028448,21.421408891677856,round_3
"{'denoising_steps': 31, 'guidance_scale': 5, 'positive_prompt': [1424, 1663, 92], 'negative_prompt': [4633, 53, 74], 'weight': 0, 'seed': 157}",0.7852381,0.00013535,0.1999999999999999,0.7999999999999999,0.0007874077132589,22.408202171325684,round_2
"{'denoising_steps': 27, 'guidance_scale': 14, 'positive_prompt': [1667, 1675, 171], 'negative_prompt': [3641, 544, 34], 'weight': 4, 'seed': 123}",0.78272727,0.00011457,0.1999999999999999,1.0,0.0006785952650973,19.076978087425232,round_7
"{'denoising_steps': 34, 'guidance_scale': 7, 'positive_prompt': [1164, 300, 142], 'negative_prompt': [2615, 941, 191], 'weight': 3, 'seed': 223}",0.7726087,0.00014375,0.8,0.7,0.0008536831829459,24.038195729255676,round_6
"{'denoising_steps': 27, 'guidance_scale': 12, 'positive_prompt': [723, 1145, 179], 'negative_prompt': [9313, 466, 45], 'weight': 0, 'seed': 314}",0.77041667,0.00011663,0.3999999999999999,0.5,0.0006812409616578,19.24618971347809,round_4
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1895, 300, 99], 'negative_prompt': [15589, 868, 9], 'weight': 1, 'seed': 268}",0.75173913,8.418e-05,0.1999999999999999,0.5,0.0004905292813113,13.807185173034668,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1931, 1923, 8], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.7475,8.364e-05,0.5,0.8,0.0004911205317856,13.810322403907776,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [950, 420, 201], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.73428571,8.283e-05,0.3999999999999999,0.8,0.0004876126123107,13.782012462615969,round_9
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1120, 288, 38], 'negative_prompt': [7233, 828, 165], 'weight': 4, 'seed': 238}",0.72833333,8.252e-05,0.8,1.1,0.0004854735828239,13.603150725364683,round_9
"{'denoising_steps': 34, 'guidance_scale': 14.649293409358808, 'positive_prompt': [1154, 480, 48], 'negative_prompt': [2330, 232, 219], 'weight': 4, 'seed': 233}",0.72590909,0.00014476,0.0,0.8,0.0008628138846961,24.010716915130615,round_8
"{'denoising_steps': 19, 'guidance_scale': 9.453509209467786, 'positive_prompt': [1895, 300, 99], 'negative_prompt': [15589, 868, 9], 'weight': 1, 'seed': 385}",0.69083333,8.19e-05,0.7,0.8,0.0004850669158286,13.561776757240295,round_9
"{'denoising_steps': 7, 'guidance_scale': 6.204804227272276, 'positive_prompt': [521, 418, 155], 'negative_prompt': [14055, 961, 197], 'weight': 0, 'seed': 282}",0.6895,3.099e-05,0.1,0.8,0.0001810904226484,5.162208199501038,round_8
"{'denoising_steps': 4, 'guidance_scale': 8.776372826987318, 'positive_prompt': [1126, 1776, 168], 'negative_prompt': [7027, 1018, 201], 'weight': 4, 'seed': 226}",0.50428571,1.827e-05,0.1,0.9000000000000001,0.0001059675847727,3.0228729248046875,round_8
"{'denoising_steps': 5, 'guidance_scale': 12.316054491238976, 'positive_prompt': [1098, 1306, 29], 'negative_prompt': [4939, 187, 12], 'weight': 3, 'seed': 60}",0.476,2.267e-05,0.1999999999999999,0.7000000000000001,0.0001309985770223,3.743960022926331,round_9
"{'denoising_steps': 3, 'guidance_scale': 17.233292784412505, 'positive_prompt': [1237, 617, 196], 'negative_prompt': [1354, 994, 122], 'weight': 1, 'seed': 442}",0.29333333,1.397e-05,0.1999999999999999,0.6000000000000001,8.147353739929031e-05,2.3195443153381348,round_10
