Solution,Round,Image Quality,Gender Fitness,Ethnicity Fitness,Duration,CPU Energy,GPU Energy
"{'denoising_steps': 25, 'guidance_scale': 4, 'positive_prompt': [1445, 1526, 20], 'negative_prompt': [15054, 851, 80], 'weight': 0, 'seed': 418}",round_8,0.7512000000000001, 0.7, 0.7,19.02489709854126,0.0001143555048176,0.0007091894562401
"{'denoising_steps': 25, 'guidance_scale': 9, 'positive_prompt': [939, 917, 25], 'negative_prompt': [8704, 788, 37], 'weight': 7, 'seed': 90}",round_8,0.7438095238095238, 0.0, 0.5,19.02703976631165,0.0001146263986454,0.0007081950109997
"{'denoising_steps': 36, 'guidance_scale': 6, 'positive_prompt': [1389, 1503, 121], 'negative_prompt': [6224, 314, 104], 'weight': 6, 'seed': 350}",round_8,0.7434615384615384, 0.10000000000000003, 0.49999999999999994,19.030786514282227,0.0001143717639973,0.0007112200134198
"{'denoising_steps': 33, 'guidance_scale': 15, 'positive_prompt': [1317, 831, 173], 'negative_prompt': [14340, 574, 13], 'weight': 9, 'seed': 206}",round_8,0.6363636363636362, 0.8999999999999999, 0.39999999999999997,19.02307438850403,0.0001139423144871,0.0007065411207882
"{'denoising_steps': 49, 'guidance_scale': 19, 'positive_prompt': [177, 312, 218], 'negative_prompt': [15036, 375, 120], 'weight': 8, 'seed': 48}",round_8,0.615238095238095, 0.5, 0.4130434782608696,19.027406454086304,0.0001144553482308,0.0007081952887779
"{'denoising_steps': 26, 'guidance_scale': 19, 'positive_prompt': [778, 581, 118], 'negative_prompt': [6224, 314, 104], 'weight': 8, 'seed': 250}",round_8,0.5944999999999999, 0.19999999999999996, 0.4,19.02489709854126,0.0001143555048176,0.0007091894562401
"{'denoising_steps': 30, 'guidance_scale': 19, 'positive_prompt': [1317, 831, 173], 'negative_prompt': [14340, 574, 13], 'weight': 10, 'seed': 188}",round_8,0.5256666666666667, 0.8999999999999999, 0.29999999999999993,19.02611780166626,0.0001149843864318,0.0007045141747217
"{'denoising_steps': 28, 'guidance_scale': 6, 'positive_prompt': [765, 1493, 102], 'negative_prompt': [3932, 302, 27], 'weight': 8, 'seed': 232}",round_4,0.7739130434782611, 0.39999999999999997, 0.5652173913043478,19.02307438850403,0.0001139423144871,0.0007065411207882
"{'denoising_steps': 28, 'guidance_scale': 14, 'positive_prompt': [1109, 995, 50], 'negative_prompt': [6233, 63, 99], 'weight': 0, 'seed': 173}",round_4,0.7414999999999999, 0.30000000000000004, 0.5,19.02307438850403,0.0001139423144871,0.0007065411207882
"{'denoising_steps': 47, 'guidance_scale': 7, 'positive_prompt': [1109, 995, 50], 'negative_prompt': [6233, 63, 99], 'weight': 4, 'seed': 173}",round_4,0.73375, 0.19999999999999996, 0.8999999999999999,19.022767782211304,0.0001143156625635,0.0007068761210557
"{'denoising_steps': 41, 'guidance_scale': 7, 'positive_prompt': [1362, 1516, 148], 'negative_prompt': [4746, 44, 249], 'weight': 6, 'seed': 173}",round_4,0.7222222222222222, 0.7, 0.28260869565217395,19.027406454086304,0.0001144553482308,0.0007081952887779
"{'denoising_steps': 33, 'guidance_scale': 10, 'positive_prompt': [596, 580, 254], 'negative_prompt': [13329, 799, 153], 'weight': 10, 'seed': 64}",round_4,0.7187999999999998, 0.5, 0.4,19.02861452102661,0.0001144297809881,0.000705129175214
"{'denoising_steps': 34, 'guidance_scale': 11, 'positive_prompt': [1845, 836, 207], 'negative_prompt': [2197, 575, 220], 'weight': 10, 'seed': 299}",round_4,0.7075999999999999, 0.10000000000000003, 0.6,19.02497911453247,0.0001146520503326,0.000703983063186
