Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,Gender Count,Ethnicity Count,GPU Energy,Duration,Round
"{'denoising_steps': 25, 'guidance_scale': 9.309840765323356, 'positive_prompt': [803, 1134, 10], 'negative_prompt': [7119, 547, 95], 'weight': 4}",0.77047619,0.5,0.5,0.00023617,"{""male"": 15, ""female"": 5}","{""asian"": 11, ""white"": 7, ""black"": 1, ""arab"": 1}",0.0006491859360148,17.899519085884094,round_9
"{'denoising_steps': 42, 'guidance_scale': 3.506340318783121, 'positive_prompt': [1878, 1726, 16], 'negative_prompt': [11625, 832, 140], 'weight': 0}",0.74636364,0.3,0.4,0.00018312,"{""male"": 7, ""female"": 13}","{""asian"": 9, ""white"": 9, ""black"": 1, ""arab"": 1}",0.0010849047568122,30.258991003036495,round_1
"{'denoising_steps': 27, 'guidance_scale': 4.058418729714745, 'positive_prompt': [1937, 318, 66], 'negative_prompt': [5158, 434, 212], 'weight': 2}",0.74272727,0.3,0.52173913,0.00025746,"{""male"": 13, ""female"": 7}","{""asian"": 14, ""white"": 2, ""black"": 2, ""arab"": 5}",0.0006903326355995,19.512932419776917,round_4
"{'denoising_steps': 28, 'guidance_scale': 4.126182851308675, 'positive_prompt': [1342, 13, 8], 'negative_prompt': [5531, 224, 183], 'weight': 2}",0.74157895,0.3,0.45,0.00026648,"{""male"": 13, ""female"": 7}","{""asian"": 9, ""white"": 9, ""black"": 2, ""arab"": 0}",0.000718697658291,20.196942687034607,round_3
"{'denoising_steps': 33, 'guidance_scale': 17.12842911715969, 'positive_prompt': [100, 884, 93], 'negative_prompt': [362, 628, 110], 'weight': 5}",0.73428571,0.8,0.4,0.00031122,"{""male"": 18, ""female"": 2}","{""asian"": 9, ""white"": 6, ""black"": 4, ""arab"": 1}",0.0008556895734401,23.58766996860504,round_4
"{'denoising_steps': 37, 'guidance_scale': 16.754689162621553, 'positive_prompt': [38, 859, 197], 'negative_prompt': [7680, 491, 50], 'weight': 1}",0.72789474,1.0,0.2,0.00034412,"{""male"": 20, ""female"": 0}","{""asian"": 7, ""white"": 4, ""black"": 6, ""arab"": 3}",0.0009537239574228,26.081117391586304,round_9
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 2}",0.72615385,0.5,0.55,0.00012277,"{""male"": 15, ""female"": 5}","{""asian"": 11, ""white"": 7, ""black"": 2, ""arab"": 0}",0.0007182671023926,20.338308811187744,round_1
"{'denoising_steps': 26, 'guidance_scale': 10.489190696505318, 'positive_prompt': [1846, 68, 177], 'negative_prompt': [14552, 609, 189], 'weight': 1}",0.72545455,0.1,0.55,0.00024506,"{""male"": 9, ""female"": 11}","{""asian"": 11, ""white"": 4, ""black"": 5, ""arab"": 0}",0.0006588220548348,18.572826266288757,round_5
"{'denoising_steps': 37, 'guidance_scale': 3.7657378390553853, 'positive_prompt': [18, 781, 79], 'negative_prompt': [6904, 662, 14], 'weight': 3}",0.7225,0.4,0.34615385,0.00034998,"{""male"": 14, ""female"": 6}","{""asian"": 12, ""white"": 5, ""black"": 3, ""arab"": 6}",0.0009664324398117,26.52473473548889,round_9
"{'denoising_steps': 35, 'guidance_scale': 11.49453687047891, 'positive_prompt': [80, 146, 196], 'negative_prompt': [5622, 56, 220], 'weight': 5}",0.71909091,0.1,0.52173913,0.00033046,"{""male"": 9, ""female"": 11}","{""asian"": 14, ""white"": 4, ""black"": 3, ""arab"": 2}",0.000888465571883,25.04577147960663,round_6
