Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,GPU Energy,Duration,Round
"{'denoising_steps': 63, 'guidance_scale': 7.878402681424506, 'positive_prompt': [45, 1593, 131], 'negative_prompt': [1214, 494, 126], 'weight': 2}",0.83565217,1.0,0.8,0.00059515,0.0016207974077477,45.106141686439514,round_10
"{'denoising_steps': 41, 'guidance_scale': 7.878402681424506, 'positive_prompt': [1599, 556, 5], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.7855,0.0,0.6,0.00038584,0.0010679500210257,29.242941975593567,round_10
"{'denoising_steps': 25, 'guidance_scale': 2.508822455909978, 'positive_prompt': [400, 558, 36], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.77421053,0.5,0.65,0.00023679,0.0006606484451849,17.94623863697052,round_10
"{'denoising_steps': 43, 'guidance_scale': 4.053590865179513, 'positive_prompt': [1599, 556, 5], 'negative_prompt': [63, 988, 207], 'weight': 2}",0.75555556,0.2,0.45,0.00040487,0.0011250821500649,30.68501603603363,round_10
"{'denoising_steps': 45, 'guidance_scale': 14.547676173971896, 'positive_prompt': [1218, 654, 79], 'negative_prompt': [9869, 437, 244], 'weight': 2}",0.74095238,0.2,0.3,0.00041964,0.0011515898101594,31.804422855377197,round_10
"{'denoising_steps': 39, 'guidance_scale': 3.5857071706243615, 'positive_prompt': [1529, 1042, 58], 'negative_prompt': [9486, 456, 250], 'weight': 3}",0.72043478,0.5,0.6,0.00036476,0.0010089088626816,27.645262718200684,round_10
"{'denoising_steps': 31, 'guidance_scale': 10.465660485362267, 'positive_prompt': [388, 331, 59], 'negative_prompt': [2588, 58, 49], 'weight': 2}",0.70958333,0.3,0.2173913,0.00028997,0.0008041006432798,21.97680068016052,round_10
"{'denoising_steps': 39, 'guidance_scale': 7.878402681424506, 'positive_prompt': [1599, 556, 5], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.70730769,0.1,0.45,0.00036904,0.000999574688548,27.9698725938797,round_10
"{'denoising_steps': 26, 'guidance_scale': 7.878402681424506, 'positive_prompt': [1599, 556, 5], 'negative_prompt': [1214, 494, 126], 'weight': 2}",0.6996,0.5,0.6,0.00024275,0.0006568877477319,18.398160815238953,round_10
"{'denoising_steps': 31, 'guidance_scale': 16.43127351490764, 'positive_prompt': [581, 702, 199], 'negative_prompt': [3928, 789, 213], 'weight': 2}",0.6724,0.2,0.45,0.00029604,0.0008145138460546,22.437052965164185,round_10
"{'denoising_steps': 25, 'guidance_scale': 2.508822455909978, 'positive_prompt': [1599, 556, 5], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.66954545,0.4,0.65,0.0002387,0.0006478731571877,18.09101927280426,round_10
"{'denoising_steps': 41, 'guidance_scale': 7.878402681424506, 'positive_prompt': [1463, 1538, 201], 'negative_prompt': [9995, 720, 200], 'weight': 2}",0.655,0.0,0.73913043,0.00038486,0.0010712530792238,29.168508887290955,round_10
"{'denoising_steps': 29, 'guidance_scale': 15.447724388619331, 'positive_prompt': [675, 943, 37], 'negative_prompt': [915, 166, 48], 'weight': 4}",0.62892857,0.5,0.3,0.00027247,0.0007461826802787,20.6505765914917,round_10
"{'denoising_steps': 25, 'guidance_scale': 1.5417536595940584, 'positive_prompt': [400, 558, 36], 'negative_prompt': [16241, 97, 10], 'weight': 4}",0.62821429,0.5,0.5,0.0002357,0.0006523896885783,17.863937258720398,round_10
"{'denoising_steps': 25, 'guidance_scale': 1.5417536595940584, 'positive_prompt': [1154, 1175, 173], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.62769231,0.4,0.5,0.00023672,0.0006470898232272,17.941248416900635,round_10
"{'denoising_steps': 39, 'guidance_scale': 17.271804447172563, 'positive_prompt': [1599, 556, 5], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.60666667,0.1,0.4,0.00035211,0.0009870944007856,26.68680202960968,round_10
"{'denoising_steps': 25, 'guidance_scale': 1.5417536595940584, 'positive_prompt': [400, 558, 36], 'negative_prompt': [16241, 97, 10], 'weight': 2}",0.58631579,0.1,0.39130435,0.00023147,0.0006533384393371,17.542845964431763,round_10
"{'denoising_steps': 36, 'guidance_scale': 16.329549011902795, 'positive_prompt': [1540, 508, 160], 'negative_prompt': [10592, 0, 146], 'weight': 0}",0.8415,0.9,0.8,0.00033406,0.0009247296286719,25.318326711654663,round_7
"{'denoising_steps': 54, 'guidance_scale': 7.435419162000835, 'positive_prompt': [1846, 147, 43], 'negative_prompt': [14101, 77, 106], 'weight': 2}",0.72333333,0.7,0.26086957,0.00051148,0.0013907463903739,38.7647430896759,round_7
"{'denoising_steps': 44, 'guidance_scale': 6.523677597160422, 'positive_prompt': [1511, 220, 52], 'negative_prompt': [4002, 8, 250], 'weight': 3}",0.71592593,0.5,0.6,0.00041459,0.0011278646522909,31.421541571617126,round_7
"{'denoising_steps': 60, 'guidance_scale': 3.138748375395979, 'positive_prompt': [933, 1464, 169], 'negative_prompt': [10882, 853, 225], 'weight': 2}",0.70136364,0.3,0.6,0.00057007,0.0015412694274588,43.20593762397766,round_7
"{'denoising_steps': 26, 'guidance_scale': 3.107927963278103, 'positive_prompt': [1691, 1879, 174], 'negative_prompt': [14151, 303, 241], 'weight': 2}",0.69904762,0.4,0.35,0.0002437,0.0006749213732699,18.469756960868835,round_7
"{'denoising_steps': 48, 'guidance_scale': 6.622362535118864, 'positive_prompt': [203, 1986, 159], 'negative_prompt': [9518, 423, 93], 'weight': 3}",0.69037037,0.2,0.5,0.00044713,0.0012326247360989,33.88798463344574,round_7
"{'denoising_steps': 34, 'guidance_scale': 13.309971769517086, 'positive_prompt': [1515, 1619, 182], 'negative_prompt': [829, 883, 172], 'weight': 1}",0.685,0.3,0.3,0.00032471,0.0008786588973709,24.60988199710846,round_7
"{'denoising_steps': 39, 'guidance_scale': 19.65688122849044, 'positive_prompt': [1751, 1037, 225], 'negative_prompt': [11563, 329, 183], 'weight': 3}",0.6795,0.1,0.75,0.00037152,0.0010163110908259,28.157855987548825,round_7
"{'denoising_steps': 34, 'guidance_scale': 6.192052859989716, 'positive_prompt': [481, 1572, 209], 'negative_prompt': [7305, 122, 225], 'weight': 1}",0.67393939,0.2,0.75,0.00031642,0.0008737047267409,23.9816837310791,round_7
"{'denoising_steps': 60, 'guidance_scale': 18.423190901677053, 'positive_prompt': [933, 1464, 169], 'negative_prompt': [10882, 853, 225], 'weight': 1}",0.6675,0.1,0.4,0.0005682,0.0015390399812308,43.06410253047943,round_7
"{'denoising_steps': 50, 'guidance_scale': 8.381450266144611, 'positive_prompt': [1463, 1363, 103], 'negative_prompt': [1810, 145, 228], 'weight': 1}",0.6662069,0.1,0.55,0.00046885,0.0012694508766709,35.534319281578064,round_7
"{'denoising_steps': 28, 'guidance_scale': 19.307443834224017, 'positive_prompt': [312, 1172, 66], 'negative_prompt': [2117, 233, 127], 'weight': 3}",0.65826087,0.9,0.1,0.00026333,0.000715550294662,19.95783019065857,round_7
"{'denoising_steps': 30, 'guidance_scale': 15.634290554852148, 'positive_prompt': [654, 1662, 37], 'negative_prompt': [15876, 969, 192], 'weight': 1}",0.65736842,0.2,0.4,0.00028598,0.0007759388151948,21.674599170684814,round_7
"{'denoising_steps': 25, 'guidance_scale': 11.230244064142447, 'positive_prompt': [603, 566, 31], 'negative_prompt': [15975, 925, 200], 'weight': 3}",0.5908,0.0,0.5,0.00023951,0.0006542951067689,18.15258038043976,round_7
"{'denoising_steps': 42, 'guidance_scale': 12.79389118434458, 'positive_prompt': [335, 1391, 203], 'negative_prompt': [2524, 139, 142], 'weight': 5}",0.57043478,0.0,0.4,0.00039082,0.0010652840466709,29.62033689022064,round_7
"{'denoising_steps': 28, 'guidance_scale': 19.307443834224017, 'positive_prompt': [312, 1172, 66], 'negative_prompt': [2117, 233, 127], 'weight': 4}",0.54962963,1.0,0.2,0.00026079,0.0007126794590319,19.765476942062374,round_7
"{'denoising_steps': 37, 'guidance_scale': 5.458969727505942, 'positive_prompt': [38, 859, 197], 'negative_prompt': [727, 798, 181], 'weight': 1}",0.80727273,0.7,0.65,0.00034828,0.0009597732678178,26.396081805229187,round_9
"{'denoising_steps': 37, 'guidance_scale': 12.378514220559948, 'positive_prompt': [1127, 298, 103], 'negative_prompt': [727, 798, 181], 'weight': 2}",0.80047619,0.8,0.35,0.00035007,0.0009621803530772,26.532177090644836,round_9
"{'denoising_steps': 25, 'guidance_scale': 9.309840765323356, 'positive_prompt': [803, 1134, 10], 'negative_prompt': [7119, 547, 95], 'weight': 4}",0.77047619,0.5,0.5,0.00023617,0.0006491859360148,17.899519085884094,round_9
"{'denoising_steps': 57, 'guidance_scale': 8.567820821702433, 'positive_prompt': [1070, 1078, 17], 'negative_prompt': [3578, 362, 14], 'weight': 2}",0.76565217,0.5,0.4,0.00053223,0.0014735807621968,40.33754312992096,round_9
"{'denoising_steps': 37, 'guidance_scale': 16.754689162621553, 'positive_prompt': [38, 859, 197], 'negative_prompt': [7680, 491, 50], 'weight': 1}",0.72789474,1.0,0.2,0.00034412,0.0009537239574228,26.081117391586304,round_9
"{'denoising_steps': 37, 'guidance_scale': 3.7657378390553853, 'positive_prompt': [18, 781, 79], 'negative_prompt': [6904, 662, 14], 'weight': 3}",0.7225,0.4,0.34615385,0.00034998,0.0009664324398117,26.52473473548889,round_9
"{'denoising_steps': 55, 'guidance_scale': 12.037841676755615, 'positive_prompt': [1847, 582, 200], 'negative_prompt': [12950, 192, 221], 'weight': 1}",0.71173913,0.2,0.4,0.0005195,0.0014230996107011,39.372963309288025,round_9
"{'denoising_steps': 37, 'guidance_scale': 12.378514220559948, 'positive_prompt': [38, 859, 197], 'negative_prompt': [727, 798, 181], 'weight': 2}",0.71125,0.8,0.30434783,0.00034902,0.000964361327044,26.45245325565338,round_9
"{'denoising_steps': 37, 'guidance_scale': 12.378514220559948, 'positive_prompt': [1437, 524, 52], 'negative_prompt': [727, 798, 181], 'weight': 2}",0.70391304,0.4,0.55,0.00034821,0.0009582106276795,26.390577793121334,round_9
"{'denoising_steps': 42, 'guidance_scale': 4.497736992703545, 'positive_prompt': [1591, 1000, 180], 'negative_prompt': [5720, 2, 138], 'weight': 0}",0.69066667,0.2,0.55,0.00039502,0.00108431336745,29.938196778297424,round_9
"{'denoising_steps': 60, 'guidance_scale': 3.4422945073196276, 'positive_prompt': [8, 361, 241], 'negative_prompt': [3838, 572, 21], 'weight': 4}",0.68958333,0.1,0.6,0.00057074,0.0015599498590698,43.25676655769348,round_9
"{'denoising_steps': 42, 'guidance_scale': 13.186149648703827, 'positive_prompt': [995, 1135, 205], 'negative_prompt': [7802, 986, 176], 'weight': 5}",0.66962963,0.1,0.45,0.0003906,0.0010832719777277,29.603285908699036,round_9
"{'denoising_steps': 37, 'guidance_scale': 12.378514220559948, 'positive_prompt': [1503, 221, 45], 'negative_prompt': [727, 798, 181], 'weight': 2}",0.65391304,0.4,0.30434783,0.00033873,0.0009424239483832,25.672145843505863,round_9
"{'denoising_steps': 36, 'guidance_scale': 17.053352608027122, 'positive_prompt': [1875, 582, 106], 'negative_prompt': [8611, 152, 42], 'weight': 2}",0.65,0.3,0.7,0.00033698,0.0009514593722778,25.540010690689087,round_9
"{'denoising_steps': 52, 'guidance_scale': 1.3835889568054949, 'positive_prompt': [352, 1965, 118], 'negative_prompt': [1099, 548, 114], 'weight': 4}",0.64136364,0.0,0.45,0.00048212,0.0013444246866502,36.540000796318054,round_9
"{'denoising_steps': 32, 'guidance_scale': 16.688871244837863, 'positive_prompt': [1515, 662, 55], 'negative_prompt': [4015, 461, 117], 'weight': 5}",0.63625,0.2,0.45,0.00030092,0.0008474981779977,22.807135462760925,round_9
"{'denoising_steps': 29, 'guidance_scale': 15.545376746748246, 'positive_prompt': [1407, 1461, 109], 'negative_prompt': [12938, 416, 43], 'weight': 2}",0.63538462,0.2,0.65,0.00027657,0.0007590364405619,20.961032032966617,round_9
"{'denoising_steps': 29, 'guidance_scale': 6.259962122103526, 'positive_prompt': [1544, 1176, 232], 'negative_prompt': [1952, 104, 126], 'weight': 4}",0.79,0.7,0.6,0.00027271,0.0007349200323802,20.668771386146545,round_8
"{'denoising_steps': 50, 'guidance_scale': 13.365312937725218, 'positive_prompt': [845, 168, 118], 'negative_prompt': [2126, 537, 180], 'weight': 1}",0.77,0.6,0.5,0.00047229,0.0013008481240108,35.79496502876282,round_8
"{'denoising_steps': 47, 'guidance_scale': 5.702420340250511, 'positive_prompt': [1571, 723, 12], 'negative_prompt': [15508, 261, 243], 'weight': 2}",0.75666667,0.4,0.6,0.00044715,0.0012007981828603,33.88918673992157,round_8
"{'denoising_steps': 33, 'guidance_scale': 4.836617985521068, 'positive_prompt': [865, 401, 184], 'negative_prompt': [10455, 749, 67], 'weight': 4}",0.7212,0.3,0.6,0.00031318,0.0008406969225569,23.73594307899475,round_8
"{'denoising_steps': 40, 'guidance_scale': 15.33605702794878, 'positive_prompt': [386, 1380, 47], 'negative_prompt': [10872, 453, 239], 'weight': 3}",0.7205,0.9,0.5,0.00037937,0.0010359741621119,28.752692580223083,round_8
"{'denoising_steps': 62, 'guidance_scale': 2.63799402733085, 'positive_prompt': [1111, 39, 90], 'negative_prompt': [3617, 879, 137], 'weight': 5}",0.71238095,0.7,0.47826087,0.00058728,0.0016161707373801,44.5098558664322,round_8
"{'denoising_steps': 36, 'guidance_scale': 12.961231246548712, 'positive_prompt': [1111, 39, 90], 'negative_prompt': [3617, 879, 137], 'weight': 5}",0.70761905,0.0,0.2,0.00034327,0.0009317704676383,26.01620888710022,round_8
"{'denoising_steps': 32, 'guidance_scale': 9.780197349251768, 'positive_prompt': [1895, 1690, 19], 'negative_prompt': [3676, 606, 24], 'weight': 5}",0.6775,0.5,0.75,0.0003056,0.0008180006543999,23.16162061691284,round_8
"{'denoising_steps': 28, 'guidance_scale': 18.36020798276619, 'positive_prompt': [1981, 342, 21], 'negative_prompt': [12890, 984, 185], 'weight': 1}",0.66681818,0.5,0.56521739,0.00026193,0.0007096355677078,19.851879596710205,round_8
"{'denoising_steps': 34, 'guidance_scale': 11.81294664253235, 'positive_prompt': [1620, 152, 48], 'negative_prompt': [9256, 688, 170], 'weight': 1}",0.6632,0.7,0.55,0.00031933,0.0008646126361339,24.202367424964905,round_8
"{'denoising_steps': 26, 'guidance_scale': 12.026812367668223, 'positive_prompt': [493, 775, 233], 'negative_prompt': [7851, 133, 65], 'weight': 4}",0.6383871,0.3,0.45,0.00024614,0.000671074009081,18.65535616874695,round_8
"{'denoising_steps': 26, 'guidance_scale': 16.491792406216494, 'positive_prompt': [1809, 1478, 7], 'negative_prompt': [1837, 131, 185], 'weight': 0}",0.58636364,0.6,0.6,0.00024333,0.0006559814970069,18.44193840026856,round_8
