Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,GPU Energy,Duration,Round
"{'denoising_steps': 25, 'guidance_scale': 6.1950481980868455, 'positive_prompt': [1517, 917, 97], 'negative_prompt': [9123, 468, 10], 'weight': 4}",0.575,0.2,0.55,0.00023824,0.00064080190153,18.056122660636905,round_8
"{'denoising_steps': 53, 'guidance_scale': 8.653630964633383, 'positive_prompt': [1664, 1132, 18], 'negative_prompt': [14065, 161, 85], 'weight': 0}",0.84190476,1.0,0.7,0.00050107,0.0013473255223042,37.976171135902405,round_6
"{'denoising_steps': 79, 'guidance_scale': 17.724347052297734, 'positive_prompt': [98, 1825, 75], 'negative_prompt': [8027, 463, 172], 'weight': 1}",0.762,0.9,0.4,0.0007217,0.0019865174225461,54.69764709472656,round_6
"{'denoising_steps': 37, 'guidance_scale': 8.653630964633383, 'positive_prompt': [1664, 1132, 18], 'negative_prompt': [1197, 695, 218], 'weight': 0}",0.76125,1.0,0.7,0.00034458,0.0009329589408117,26.11551284790039,round_6
"{'denoising_steps': 55, 'guidance_scale': 8.412746687749735, 'positive_prompt': [1449, 320, 160], 'negative_prompt': [3030, 359, 157], 'weight': 3}",0.75769231,1.0,0.55,0.0005031,0.0013971725066266,38.13020932674408,round_6
"{'denoising_steps': 76, 'guidance_scale': 8.03648859223509, 'positive_prompt': [1154, 1704, 208], 'negative_prompt': [780, 82, 101], 'weight': 1}",0.7526087,0.4,0.85,0.00070772,0.0019498191987423,53.63820135593414,round_6
"{'denoising_steps': 45, 'guidance_scale': 11.229367269765778, 'positive_prompt': [982, 606, 181], 'negative_prompt': [6845, 814, 194], 'weight': 2}",0.73391304,0.0,0.55,0.00042647,0.0011460059168033,32.3222382068634,round_6
"{'denoising_steps': 58, 'guidance_scale': 12.464754118402999, 'positive_prompt': [1196, 1974, 116], 'negative_prompt': [4690, 804, 45], 'weight': 1}",0.72772727,0.4,0.3,0.00054163,0.0014908829982607,41.05003309249878,round_6
"{'denoising_steps': 40, 'guidance_scale': 13.766400682007017, 'positive_prompt': [351, 202, 82], 'negative_prompt': [3987, 595, 157], 'weight': 3}",0.72684211,0.7,0.5,0.00037651,0.0010372337464525,28.53563141822815,round_6
"{'denoising_steps': 35, 'guidance_scale': 11.49453687047891, 'positive_prompt': [80, 146, 196], 'negative_prompt': [5622, 56, 220], 'weight': 5}",0.71909091,0.1,0.52173913,0.00033046,0.000888465571883,25.04577147960663,round_6
"{'denoising_steps': 53, 'guidance_scale': 10.993456152202137, 'positive_prompt': [539, 136, 147], 'negative_prompt': [288, 515, 204], 'weight': 4}",0.71586207,0.1,0.45,0.00049792,0.0013721826255226,37.73754274845123,round_6
"{'denoising_steps': 53, 'guidance_scale': 8.653630964633383, 'positive_prompt': [378, 826, 127], 'negative_prompt': [5418, 804, 123], 'weight': 2}",0.71464286,0.1,0.35,0.00050089,0.0013545885836689,37.962514996528625,round_6
"{'denoising_steps': 35, 'guidance_scale': 11.56236386010809, 'positive_prompt': [449, 897, 22], 'negative_prompt': [15093, 270, 29], 'weight': 3}",0.71111111,0.8,0.6,0.00032784,0.0008914882131909,24.846877813339233,round_6
"{'denoising_steps': 53, 'guidance_scale': 8.653630964633383, 'positive_prompt': [971, 1660, 182], 'negative_prompt': [5418, 804, 123], 'weight': 2}",0.7047619,0.4,0.17391304,0.00050122,0.0013771320739275,37.987805128097534,round_6
"{'denoising_steps': 27, 'guidance_scale': 17.603485566260805, 'positive_prompt': [1664, 1057, 177], 'negative_prompt': [14966, 738, 253], 'weight': 0}",0.69263158,0.9,0.6,0.00025743,0.0007104380683501,19.510714530944824,round_6
"{'denoising_steps': 47, 'guidance_scale': 8.653630964633383, 'positive_prompt': [1507, 239, 97], 'negative_prompt': [14065, 161, 85], 'weight': 1}",0.68774194,0.9,0.35,0.00043971,0.0011883016450839,33.32581615447998,round_6
"{'denoising_steps': 33, 'guidance_scale': 14.230795229837547, 'positive_prompt': [321, 93, 202], 'negative_prompt': [9337, 766, 23], 'weight': 5}",0.68413793,0.7,0.6,0.00031483,0.0008462001214039,23.861339926719666,round_6
"{'denoising_steps': 32, 'guidance_scale': 5.4861726243799325, 'positive_prompt': [718, 1992, 245], 'negative_prompt': [3770, 207, 250], 'weight': 4}",0.67884615,0.3,0.3,0.00030178,0.0008173874594658,22.871990203857425,round_6
"{'denoising_steps': 30, 'guidance_scale': 7.470974150910596, 'positive_prompt': [1779, 1026, 71], 'negative_prompt': [1907, 818, 9], 'weight': 5}",0.66923077,0.5,0.2173913,0.00028347,0.0007639170000226,21.484132766723633,round_6
"{'denoising_steps': 45, 'guidance_scale': 13.102428485321777, 'positive_prompt': [130, 828, 121], 'negative_prompt': [13684, 997, 226], 'weight': 0}",0.64,0.0,0.5,0.00042398,0.0011424760528679,32.13368904590607,round_6
"{'denoising_steps': 26, 'guidance_scale': 13.781418533204857, 'positive_prompt': [471, 453, 126], 'negative_prompt': [4408, 224, 246], 'weight': 5}",0.626875,0.5,0.5,0.00024622,0.0006638052532669,18.6612628698349,round_6
"{'denoising_steps': 25, 'guidance_scale': 16.786138859085312, 'positive_prompt': [1045, 1049, 58], 'negative_prompt': [1926, 229, 130], 'weight': 2}",0.6125,1.0,0.45,0.00023493,0.0006337756459089,17.80536937713623,round_6
"{'denoising_steps': 30, 'guidance_scale': 12.555338246701282, 'positive_prompt': [1981, 1357, 247], 'negative_prompt': [7380, 515, 10], 'weight': 2}",0.6034375,0.2,0.55,0.00028251,0.0007629750548243,21.4114830493927,round_6
"{'denoising_steps': 29, 'guidance_scale': 4.807344858020963, 'positive_prompt': [1305, 784, 58], 'negative_prompt': [16096, 797, 220], 'weight': 5}",0.5830303,0.2,0.4,0.00027127,0.0007482840708492,20.55972445011139,round_6
"{'denoising_steps': 30, 'guidance_scale': 0.9436712515757084, 'positive_prompt': [918, 1995, 183], 'negative_prompt': [9516, 1003, 241], 'weight': 1}",0.49736842,0.1,0.65,0.00028694,0.0006737059556307,21.747352957725525,round_6
"{'denoising_steps': 72, 'guidance_scale': 18.257332030931867, 'positive_prompt': [759, 1329, 150], 'negative_prompt': [14759, 330, 102], 'weight': 3}",0.777,0.8,0.5,0.00031028,0.0018689858007441,51.38999271392822,round_1
"{'denoising_steps': 44, 'guidance_scale': 10.862105251295555, 'positive_prompt': [389, 697, 181], 'negative_prompt': [7168, 842, 159], 'weight': 4}",0.77478261,0.0,0.55,0.00018182,0.001082283504715,30.10927522182465,round_1
"{'denoising_steps': 42, 'guidance_scale': 3.506340318783121, 'positive_prompt': [1878, 1726, 16], 'negative_prompt': [11625, 832, 140], 'weight': 0}",0.74636364,0.3,0.4,0.00018312,0.0010849047568122,30.258991003036495,round_1
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 2}",0.72615385,0.5,0.55,0.00012277,0.0007182671023926,20.338308811187744,round_1
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [768, 1648, 51], 'negative_prompt': [10126, 509, 139], 'weight': 5}",0.71291667,0.5,0.75,0.00012039,0.0007038725075396,19.821263313293457,round_1
"{'denoising_steps': 59, 'guidance_scale': 4.065270918449444, 'positive_prompt': [453, 1816, 79], 'negative_prompt': [4757, 829, 184], 'weight': 1}",0.70807692,0.0,0.46153846,0.00025235,0.0015214773282891,41.73866081237793,round_1
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 5}",0.69857143,0.7,0.7,0.00012144,0.0007110934855418,20.01185441017151,round_1
"{'denoising_steps': 28, 'guidance_scale': 3.438419526054539, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 4}",0.685,0.2,0.75,0.00012193,0.0007155740446798,20.16938066482544,round_1
"{'denoising_steps': 68, 'guidance_scale': 6.383686175956987, 'positive_prompt': [1336, 586, 243], 'negative_prompt': [257, 967, 67], 'weight': 5}",0.672,0.5,0.35,0.00029767,0.0017378195846937,49.01703107357025,round_1
"{'denoising_steps': 43, 'guidance_scale': 10.575796886696697, 'positive_prompt': [1587, 540, 106], 'negative_prompt': [1725, 492, 218], 'weight': 0}",0.64310345,0.1,0.45,0.00018701,0.001097766989325,30.908918857574463,round_1
"{'denoising_steps': 35, 'guidance_scale': 16.380738565560083, 'positive_prompt': [2027, 1693, 16], 'negative_prompt': [5574, 375, 218], 'weight': 5}",0.64217391,0.5,0.5,0.00014969,0.0008821368168198,24.745492458343502,round_1
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 0}",0.63878788,0.7,0.4,0.00012184,0.000716715434482,20.180557370185852,round_1
"{'denoising_steps': 28, 'guidance_scale': 9.785873135239388, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [2067, 1019, 189], 'weight': 4}",0.62,0.3,0.55,0.00011989,0.0007066138986217,19.75522530078888,round_1
"{'denoising_steps': 28, 'guidance_scale': 3.438419526054539, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [6642, 863, 157], 'weight': 4}",0.61888889,0.0,0.65,0.0001224,0.0007156862669965,20.26846671104431,round_1
"{'denoising_steps': 56, 'guidance_scale': 17.878864769789935, 'positive_prompt': [1304, 1491, 237], 'negative_prompt': [6474, 231, 12], 'weight': 5}",0.60055556,0.0,0.43478261,0.00024281,0.0014213768315442,40.14545559883118,round_1
"{'denoising_steps': 28, 'guidance_scale': 1.7653594404212392, 'positive_prompt': [481, 1374, 189], 'negative_prompt': [10912, 792, 70], 'weight': 0}",0.6,0.2,0.5,0.00012292,0.0007239658569488,20.331801056861877,round_1
"{'denoising_steps': 26, 'guidance_scale': 16.036447631001728, 'positive_prompt': [965, 1739, 177], 'negative_prompt': [11562, 952, 188], 'weight': 5}",0.59727273,0.4,0.7,0.00011444,0.00066419914247,18.859082221984863,round_1
"{'denoising_steps': 28, 'guidance_scale': 4.90700830541146, 'positive_prompt': [920, 1479, 170], 'negative_prompt': [7215, 663, 186], 'weight': 1}",0.58111111,0.5,0.45,0.0001201,0.0007087283447546,19.82892334461212,round_1
"{'denoising_steps': 40, 'guidance_scale': 0.44397624572084515, 'positive_prompt': [454, 658, 17], 'negative_prompt': [15248, 73, 133], 'weight': 5}",0.48954545,0.1,0.4,0.00034327,0.0017342059706954,55.54061412811279,round_1
"{'denoising_steps': 43, 'guidance_scale': 6.662953866323766, 'positive_prompt': [224, 494, 194], 'negative_prompt': [6314, 933, 42], 'weight': 1}",0.77192308,0.1,0.5,0.00039966,0.0010786562795912,30.290156483650208,round_4
"{'denoising_steps': 27, 'guidance_scale': 4.058418729714745, 'positive_prompt': [1937, 318, 66], 'negative_prompt': [5158, 434, 212], 'weight': 2}",0.74272727,0.3,0.52173913,0.00025746,0.0006903326355995,19.512932419776917,round_4
"{'denoising_steps': 33, 'guidance_scale': 17.12842911715969, 'positive_prompt': [100, 884, 93], 'negative_prompt': [362, 628, 110], 'weight': 5}",0.73428571,0.8,0.4,0.00031122,0.0008556895734401,23.58766996860504,round_4
"{'denoising_steps': 25, 'guidance_scale': 3.380959287166736, 'positive_prompt': [54, 327, 179], 'negative_prompt': [15780, 816, 185], 'weight': 1}",0.71807692,0.3,0.7,0.0002376,0.0006407689848372,18.00757384300232,round_4
"{'denoising_steps': 33, 'guidance_scale': 17.12842911715969, 'positive_prompt': [961, 1980, 62], 'negative_prompt': [1081, 987, 18], 'weight': 5}",0.71,0.4,0.5,0.00031142,0.0008372344197873,23.60221517086029,round_4
"{'denoising_steps': 52, 'guidance_scale': 9.370398599002536, 'positive_prompt': [669, 531, 166], 'negative_prompt': [10845, 613, 75], 'weight': 0}",0.69961538,0.7,0.21875,0.00048993,0.0013204017507648,37.132199883461,round_4
"{'denoising_steps': 68, 'guidance_scale': 4.043431182264938, 'positive_prompt': [1091, 1679, 2], 'negative_prompt': [10992, 451, 18], 'weight': 0}",0.69851852,0.0,0.55,0.00064415,0.0017304458288003,48.82043397426605,round_4
"{'denoising_steps': 27, 'guidance_scale': 15.909640418006951, 'positive_prompt': [1633, 1134, 38], 'negative_prompt': [15529, 9, 68], 'weight': 2}",0.69730769,0.8,0.5,0.000252,0.0006843136030053,19.09953272342682,round_4
"{'denoising_steps': 38, 'guidance_scale': 9.337336862972506, 'positive_prompt': [584, 1681, 191], 'negative_prompt': [10079, 101, 105], 'weight': 3}",0.69375,0.2,0.53846154,0.00036037,0.0009713781382129,27.31263422966003,round_4
"{'denoising_steps': 73, 'guidance_scale': 1.8049666822394905, 'positive_prompt': [1742, 1287, 209], 'negative_prompt': [7197, 826, 47], 'weight': 2}",0.6876,0.1,0.4,0.00067738,0.0018421118903541,51.33851623535156,round_4
"{'denoising_steps': 28, 'guidance_scale': 12.738322377835576, 'positive_prompt': [883, 310, 57], 'negative_prompt': [5295, 526, 91], 'weight': 5}",0.68038462,0.8,0.2,0.00026215,0.0007077447328618,19.868085026741028,round_4
