Solution,Image Quality,Gender Fitness,Ethnicity Fitness,CPU Energy,GPU Energy,Duration,Round
"{'denoising_steps': 40, 'guidance_scale': 7, 'positive_prompt': [1556, 1266, 160], 'negative_prompt': [5945, 964, 22], 'weight': 0}",0.84166667,1.0,0.6,0.0003892,0.0010827722551062,29.497394561767575,round_10
"{'denoising_steps': 40, 'guidance_scale': 18, 'positive_prompt': [32, 445, 28], 'negative_prompt': [1762, 729, 63], 'weight': 4}",0.831,1.0,0.5,0.00038782,0.0010814010040087,29.39317238330841,round_10
"{'denoising_steps': 35, 'guidance_scale': 12, 'positive_prompt': [1556, 1266, 160], 'negative_prompt': [4502, 435, 104], 'weight': 3}",0.78866667,1.0,0.5,0.00034016,0.0009423928372473,25.781065106391907,round_10
"{'denoising_steps': 31, 'guidance_scale': 9, 'positive_prompt': [1556, 1974, 56], 'negative_prompt': [11130, 166, 31], 'weight': 0}",0.78285714,1.0,0.6,0.0003124,0.0008570008244887,23.67692995071411,round_10
"{'denoising_steps': 35, 'guidance_scale': 7, 'positive_prompt': [1556, 1266, 160], 'negative_prompt': [5674, 708, 247], 'weight': 3}",0.78214286,1.0,0.5,0.00033718,0.0009345101920516,25.55511236190796,round_10
"{'denoising_steps': 31, 'guidance_scale': 10, 'positive_prompt': [223, 687, 36], 'negative_prompt': [14749, 724, 27], 'weight': 1}",0.68733333,1.0,0.5,0.0003024,0.0008410992839902,22.918745398521423,round_10
"{'denoising_steps': 30, 'guidance_scale': 17, 'positive_prompt': [158, 70, 201], 'negative_prompt': [3870, 346, 72], 'weight': 2}",0.65615385,1.0,0.6,0.00029711,0.0008187002382932,22.5183664560318,round_10
"{'denoising_steps': 35, 'guidance_scale': 1, 'positive_prompt': [1556, 1266, 160], 'negative_prompt': [5674, 708, 247], 'weight': 3}",0.63777778,0.6,0.6,0.0003281,0.0008008517517916,24.866672515869137,round_10
"{'denoising_steps': 46, 'guidance_scale': 1, 'positive_prompt': [1402, 293, 197], 'negative_prompt': [14685, 330, 74], 'weight': 4}",0.58095238,0.6,0.5,0.00042776,0.0010391276368566,32.42030334472656,round_10
"{'denoising_steps': 33, 'guidance_scale': 15, 'positive_prompt': [102, 1043, 232], 'negative_prompt': [15182, 275, 6], 'weight': 2}",0.87181818,1.0,0.5,0.00032309,0.0008944394655509,24.487022042274475,round_7
"{'denoising_steps': 32, 'guidance_scale': 7, 'positive_prompt': [2041, 239, 244], 'negative_prompt': [5557, 109, 131], 'weight': 1}",0.81230769,1.0,0.5,0.00031207,0.0008627455513066,23.65219748020172,round_7
"{'denoising_steps': 32, 'guidance_scale': 7, 'positive_prompt': [2041, 239, 244], 'negative_prompt': [2805, 202, 149], 'weight': 1}",0.8,1.0,0.6,0.00031109,0.0008597069377644,23.57773733139038,round_7
"{'denoising_steps': 32, 'guidance_scale': 8, 'positive_prompt': [2041, 239, 244], 'negative_prompt': [8657, 686, 126], 'weight': 1}",0.76266667,1.0,0.5,0.0003085,0.000856776935421,23.38148057460785,round_7
"{'denoising_steps': 47, 'guidance_scale': 2, 'positive_prompt': [254, 1124, 68], 'negative_prompt': [2917, 199, 69], 'weight': 0}",0.71058824,0.8,0.46153846,0.00046236,0.001282056164533,35.04257917404175,round_7
"{'denoising_steps': 33, 'guidance_scale': 1, 'positive_prompt': [965, 1164, 20], 'negative_prompt': [14711, 756, 182], 'weight': 0}",0.69,0.8,0.8,0.00031131,0.0007570604667587,23.59406995773315,round_7
"{'denoising_steps': 31, 'guidance_scale': 16, 'positive_prompt': [1276, 1939, 117], 'negative_prompt': [14834, 447, 181], 'weight': 3}",0.678,1.0,0.6,0.00030684,0.000847899567208,23.25533068180084,round_7
"{'denoising_steps': 31, 'guidance_scale': 11, 'positive_prompt': [576, 1465, 4], 'negative_prompt': [10697, 178, 47], 'weight': 2}",0.65277778,1.0,0.6,0.00030098,0.0008333963611608,22.81153964996338,round_7
"{'denoising_steps': 32, 'guidance_scale': 1, 'positive_prompt': [2041, 239, 244], 'negative_prompt': [8657, 686, 126], 'weight': 2}",0.5765,1.0,0.7,0.0002983,0.0007293473890328,22.60849702358246,round_7
"{'denoising_steps': 46, 'guidance_scale': 15, 'positive_prompt': [968, 993, 184], 'negative_prompt': [1745, 680, 38], 'weight': 1}",0.87727273,1.0,0.7,0.00044818,0.0012426336329953,33.967589259147644,round_9
"{'denoising_steps': 31, 'guidance_scale': 8, 'positive_prompt': [1215, 338, 23], 'negative_prompt': [13926, 169, 189], 'weight': 4}",0.8375,1.0,0.5,0.00030227,0.0008397226162219,22.90908432006836,round_9
"{'denoising_steps': 41, 'guidance_scale': 5, 'positive_prompt': [262, 937, 206], 'negative_prompt': [449, 937, 98], 'weight': 4}",0.72611111,1.0,0.4,0.00039532,0.0010972065722091,29.96133053302765,round_9
"{'denoising_steps': 31, 'guidance_scale': 6, 'positive_prompt': [387, 1658, 45], 'negative_prompt': [13926, 169, 189], 'weight': 4}",0.72470588,1.0,0.9,0.0003004,0.0008342242784897,22.767547726631165,round_9
"{'denoising_steps': 48, 'guidance_scale': 8, 'positive_prompt': [1942, 1141, 78], 'negative_prompt': [15736, 741, 107], 'weight': 5}",0.85692308,1.0,0.8,0.00047138,0.0013059538225398,35.72600173950195,round_8
"{'denoising_steps': 42, 'guidance_scale': 9, 'positive_prompt': [555, 1387, 152], 'negative_prompt': [15868, 557, 2], 'weight': 4}",0.84454545,1.0,0.5,0.00040996,0.0011372288264492,31.071316480636597,round_8
"{'denoising_steps': 36, 'guidance_scale': 2, 'positive_prompt': [1523, 131, 186], 'negative_prompt': [15868, 557, 2], 'weight': 4}",0.84333333,1.0,0.6,0.00035009,0.0009698266091934,26.533695936203003,round_8
"{'denoising_steps': 34, 'guidance_scale': 4, 'positive_prompt': [1863, 645, 33], 'negative_prompt': [14767, 869, 193], 'weight': 4}",0.8375,1.0,0.7,0.0003316,0.0009195994856793,25.131960153579712,round_8
"{'denoising_steps': 36, 'guidance_scale': 5, 'positive_prompt': [1996, 269, 64], 'negative_prompt': [8923, 332, 64], 'weight': 2}",0.79076923,1.0,0.5,0.00034854,0.0009703910540896,26.41600072383881,round_8
"{'denoising_steps': 36, 'guidance_scale': 9, 'positive_prompt': [728, 1904, 147], 'negative_prompt': [15868, 557, 2], 'weight': 0}",0.77857143,1.0,0.4,0.00034945,0.000971086471313,26.485170602798465,round_8
"{'denoising_steps': 32, 'guidance_scale': 13, 'positive_prompt': [1435, 1532, 231], 'negative_prompt': [7613, 63, 210], 'weight': 4}",0.77615385,1.0,0.6,0.00031068,0.0008632623572757,23.54615831375122,round_8
"{'denoising_steps': 30, 'guidance_scale': 12, 'positive_prompt': [1216, 1839, 184], 'negative_prompt': [13587, 86, 146], 'weight': 0}",0.72647059,1.0,0.7,0.00029258,0.000809677175519,22.174522519111633,round_8
"{'denoising_steps': 30, 'guidance_scale': 17, 'positive_prompt': [1691, 265, 48], 'negative_prompt': [2887, 52, 118], 'weight': 2}",0.71857143,1.0,0.5,0.00030284,0.0008284142738421,22.95197880268097,round_8
"{'denoising_steps': 42, 'guidance_scale': 15, 'positive_prompt': [1869, 401, 47], 'negative_prompt': [655, 42, 173], 'weight': 5}",0.862,1.0,0.5,0.00040597,0.0011271234016977,30.76896858215332,round_6
"{'denoising_steps': 42, 'guidance_scale': 17, 'positive_prompt': [1869, 401, 47], 'negative_prompt': [9058, 977, 97], 'weight': 0}",0.822,1.0,0.6,0.00040466,0.0011214415915972,30.66958463191986,round_6
"{'denoising_steps': 38, 'guidance_scale': 17, 'positive_prompt': [1205, 1159, 228], 'negative_prompt': [4704, 260, 190], 'weight': 3}",0.81,1.0,0.8,0.00036827,0.001018624981566,27.91124427318573,round_6
"{'denoising_steps': 34, 'guidance_scale': 9, 'positive_prompt': [1331, 742, 170], 'negative_prompt': [14258, 490, 210], 'weight': 2}",0.796,1.0,0.5,0.00032678,0.0009090801717077,24.76681876182556,round_6
"{'denoising_steps': 33, 'guidance_scale': 17, 'positive_prompt': [935, 913, 174], 'negative_prompt': [3434, 159, 219], 'weight': 0}",0.73153846,1.0,0.6,0.00032251,0.0008894889060353,24.44292724132538,round_6
"{'denoising_steps': 33, 'guidance_scale': 4, 'positive_prompt': [1597, 1900, 75], 'negative_prompt': [761, 77, 252], 'weight': 5}",0.719375,1.0,0.5,0.00032054,0.0008854675139288,24.29379510879517,round_6
"{'denoising_steps': 30, 'guidance_scale': 4, 'positive_prompt': [857, 687, 196], 'negative_prompt': [15539, 8, 126], 'weight': 2}",0.70894737,1.0,0.5,0.00029796,0.00081884926619,22.582179188728333,round_6
"{'denoising_steps': 30, 'guidance_scale': 3, 'positive_prompt': [1981, 1425, 103], 'negative_prompt': [9281, 39, 181], 'weight': 2}",0.64833333,1.0,0.7,0.00029625,0.0008173520427696,22.452882766723633,round_6
"{'denoising_steps': 33, 'guidance_scale': 3, 'positive_prompt': [234, 1196, 102], 'negative_prompt': [11695, 337, 252], 'weight': 2}",0.84181818,1.0,0.6,0.00032094,0.0008881795994319,24.32376980781555,round_1
"{'denoising_steps': 43, 'guidance_scale': 7, 'positive_prompt': [879, 1847, 115], 'negative_prompt': [8531, 818, 75], 'weight': 1}",0.82166667,1.0,0.5,0.00041702,0.0011549368961709,31.606021523475647,round_1
"{'denoising_steps': 31, 'guidance_scale': 13, 'positive_prompt': [1502, 819, 17], 'negative_prompt': [10697, 848, 28], 'weight': 5}",0.798,1.0,0.7,0.00030504,0.0008406985892249,23.11928355693817,round_1
"{'denoising_steps': 31, 'guidance_scale': 10, 'positive_prompt': [1677, 24, 116], 'negative_prompt': [1171, 851, 1], 'weight': 2}",0.77571429,1.0,0.5,0.00030371,0.0008353427516069,23.018339037895203,round_1
"{'denoising_steps': 43, 'guidance_scale': 1, 'positive_prompt': [677, 368, 12], 'negative_prompt': [8531, 818, 75], 'weight': 1}",0.69466667,0.8,0.9,0.00038492,0.0009395740849919,29.17335867881775,round_1
"{'denoising_steps': 44, 'guidance_scale': 3, 'positive_prompt': [1651, 1695, 99], 'negative_prompt': [7974, 230, 188], 'weight': 1}",0.61851852,1.0,0.4,0.00043031,0.0011845781698839,32.613563895225525,round_1
"{'denoising_steps': 44, 'guidance_scale': 1, 'positive_prompt': [1870, 1313, 100], 'negative_prompt': [13709, 936, 195], 'weight': 4}",0.58,0.8,0.5,0.00039304,0.0009583957667159,29.788226485252377,round_1
"{'denoising_steps': 36, 'guidance_scale': 18, 'positive_prompt': [1960, 20, 167], 'negative_prompt': [11666, 47, 7], 'weight': 1}",0.85545455,1.0,0.7,0.0003507,0.0009702520262009,26.579198122024536,round_4
"{'denoising_steps': 45, 'guidance_scale': 6, 'positive_prompt': [725, 1175, 96], 'negative_prompt': [7652, 77, 207], 'weight': 2}",0.82416667,1.0,0.5,0.00043664,0.0012110441632787,33.09296774864197,round_4
"{'denoising_steps': 34, 'guidance_scale': 16, 'positive_prompt': [1175, 297, 9], 'negative_prompt': [10, 358, 176], 'weight': 2}",0.811,1.0,0.7,0.00033878,0.000931381995105,25.675947785377502,round_4
"{'denoising_steps': 33, 'guidance_scale': 20, 'positive_prompt': [74, 23, 169], 'negative_prompt': [3974, 844, 151], 'weight': 0}",0.809,1.0,0.5,0.00032106,0.0008877090434998,24.333094358444217,round_4
"{'denoising_steps': 31, 'guidance_scale': 5, 'positive_prompt': [1525, 1668, 223], 'negative_prompt': [4198, 1007, 73], 'weight': 2}",0.76125,1.0,0.5,0.00030804,0.000848746790108,23.3465815782547,round_4
"{'denoising_steps': 30, 'guidance_scale': 14, 'positive_prompt': [323, 623, 45], 'negative_prompt': [9816, 867, 102], 'weight': 0}",0.74153846,1.0,0.8,0.00029865,0.0008239756591798,22.6350781917572,round_4
"{'denoising_steps': 38, 'guidance_scale': 2, 'positive_prompt': [1175, 297, 9], 'negative_prompt': [10, 358, 176], 'weight': 5}",0.694375,1.0,0.4,0.00036935,0.0010230640128953,27.992913603782657,round_4
"{'denoising_steps': 31, 'guidance_scale': 10, 'positive_prompt': [1167, 408, 136], 'negative_prompt': [14722, 282, 113], 'weight': 2}",0.619,1.0,0.6,0.00030537,0.0008396184494716,23.14501845836639,round_4
"{'denoising_steps': 48, 'guidance_scale': 8, 'positive_prompt': [227, 923, 94], 'negative_prompt': [6507, 686, 23], 'weight': 2}",0.896,1.0,0.6,0.00046089,0.0012834582489881,34.93105983734131,round_3
"{'denoising_steps': 48, 'guidance_scale': 8, 'positive_prompt': [1770, 1997, 19], 'negative_prompt': [8526, 151, 178], 'weight': 2}",0.86181818,1.0,0.5,0.0004613,0.001284750611133,34.96231973171234,round_3
"{'denoising_steps': 34, 'guidance_scale': 15, 'positive_prompt': [434, 1850, 92], 'negative_prompt': [11701, 490, 32], 'weight': 5}",0.86,1.0,0.5,0.00032943,0.0009142075369209,24.96734917163849,round_3
"{'denoising_steps': 31, 'guidance_scale': 13, 'positive_prompt': [1967, 319, 173], 'negative_prompt': [8607, 244, 191], 'weight': 1}",0.79466667,1.0,0.7,0.00030131,0.0008342199729311,22.83650779724121,round_3
"{'denoising_steps': 30, 'guidance_scale': 16, 'positive_prompt': [763, 1849, 167], 'negative_prompt': [3054, 422, 169], 'weight': 4}",0.78333333,1.0,0.5,0.00029422,0.000813364817358,22.298650979995728,round_3
"{'denoising_steps': 33, 'guidance_scale': 10, 'positive_prompt': [1822, 399, 255], 'negative_prompt': [3401, 65, 132], 'weight': 1}",0.87363636,1.0,0.6,0.00033093,0.0009107725341729,25.08163619041443,round_2
"{'denoising_steps': 50, 'guidance_scale': 10, 'positive_prompt': [1704, 41, 47], 'negative_prompt': [3941, 484, 63], 'weight': 4}",0.79166667,1.0,0.5,0.00049867,0.0013758276284389,37.79436135292053,round_2
"{'denoising_steps': 33, 'guidance_scale': 8, 'positive_prompt': [548, 1438, 228], 'negative_prompt': [11009, 7, 18], 'weight': 2}",0.76642857,1.0,0.6,0.00032281,0.0008966118283999,24.465838193893433,round_2
