Round,Image Quality,Gender Fitness,Ethnicity Fitness,Duration,CPU Energy,GPU Energy
round_1,0.7004545454545454,1.0,1.3,33.71141622066498,0.0002020561095335,0.0018993241583469
round_6,0.685769230769231,1.0,0.8999999999999999,33.80987833738327,0.000200448059761,0.0019678749909653
round_21,0.6710909090909091,1.0,1.1,33.78755797147751,0.000200693090082,0.0019307374334775
round_29,0.6629629629629632,1.0,1.1,33.750785613059996,0.0002011210195216,0.0019276631254625
round_19,0.6628846153846154,1.0,1.2,33.76459894180298,0.00019975035205,0.001943523346484
round_3,0.6624285714285715,1.0,1.1,33.75012457370758,0.0002016812136503,0.0019349208812687
round_26,0.6573846153846151,1.0,1.1,33.75101705789566,0.0002004635491484,0.0019540578132449
round_30,0.6552727272727276,1.0,1.2,33.73135825395584,0.000200738573049,0.0019454945008387
round_24,0.6536065573770491,1.0,1.1,33.7545814037323,0.0001990956655263,0.0019342031029167
round_22,0.650344827586207,1.0,1.2,33.827479565143584,0.0001997590521403,0.0019237704001261
round_2,0.6429629629629628,1.0,1.2,33.83680454492569,0.0002027846900331,0.0019204178557774
round_11,0.6335937500000003,1.0,1.0,33.69293617010116,0.0002005201370826,0.0019547151887708
round_12,0.6326315789473683,1.0,1.0,33.73548299074173,0.0002010135283523,0.001954664049841
round_16,0.6310344827586208,1.0,1.3,33.73122191429138,0.0001991677792646,0.0019523619507771
